"Genus","OTU_ID","subfamily","family","Coloration","wing_span","Exotic","Diet"
"Acrobasis","micro_22","Phycitinae","Pyralidae","dark","small","native","generalist"
"Acrobasis","micro_07","Phycitinae","Pyralidae","dark","small","native","generalist"
"Acrolophus","micro_16","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_22","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_20","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_22","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_14","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_02","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_22","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_22","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist"
"Acrolophus","micro_22","Acrolophinae","Tineidae","medium","large","native","specalist"
"Amydria","micro_28","Acrolophinae","Tineidae","medium","medium","native",""
"Amydria","micro_28","Acrolophinae","Tineidae","medium","medium","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_02","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_02","Spilomelinae","Crambidae","medium","small","native",""
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native",""
"Anatrachyntis","micro_18","Cosmopteriginae","Cosmopterigidae","light","small","exotic","generalist"
"Ancylis","micro_29","Olethreutinae","Tortricidae","medium","medium","native",""
"Ancylis","micro_29","Olethreutinae","Tortricidae","medium","medium","native",""
