"Genus","Sample_ID","subfamily","family","Coloration","wing_span","Exotic","Diet","Site","Classification"
"Acrobasis","micro_22","Phycitinae","Pyralidae","dark","small","native","generalist","BIVA","suburban"
"Acrobasis","micro_07","Phycitinae","Pyralidae","dark","small","native","generalist","DEMI","suburban"
"Acrolophus","micro_16","Acrolophinae","Tineidae","medium","large","native","specalist","BOWA","rural"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist","COFR","urban"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist","COFR","urban"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist","COFR","urban"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_22","Acrolophinae","Tineidae","medium","large","native","specalist","BIVA","suburban"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist","COFR","urban"
"Acrolophus","micro_20","Acrolophinae","Tineidae","medium","large","native","specalist","BIVA","suburban"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_22","Acrolophinae","Tineidae","medium","large","native","specalist","BIVA","suburban"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist","COFR","urban"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist","COFR","urban"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist","DEMI","suburban"
"Acrolophus","micro_14","Acrolophinae","Tineidae","medium","large","native","specalist","BOWA","rural"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist","DEMI","suburban"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist","COFR","urban"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist","DEMI","suburban"
"Acrolophus","micro_03","Acrolophinae","Tineidae","medium","large","native","specalist","COFR","urban"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist","DEMI","suburban"
"Acrolophus","micro_02","Acrolophinae","Tineidae","medium","large","native","specalist","COFR","urban"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist","DEMI","suburban"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_22","Acrolophinae","Tineidae","medium","large","native","specalist","BIVA","suburban"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist","DEMI","suburban"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_22","Acrolophinae","Tineidae","medium","large","native","specalist","BIVA","suburban"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_09","Acrolophinae","Tineidae","medium","large","native","specalist","DEMI","suburban"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_41","Acrolophinae","Tineidae","medium","large","native","specalist","AUCA","rural"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_28","Acrolophinae","Tineidae","medium","large","native","specalist","RIST","rural"
"Acrolophus","micro_22","Acrolophinae","Tineidae","medium","large","native","specalist","BIVA","suburban"
"Amydria","micro_28","Acrolophinae","Tineidae","medium","medium","native","","RIST","rural"
"Amydria","micro_28","Acrolophinae","Tineidae","medium","medium","native","","RIST","rural"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_02","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_02","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anageshna","micro_05","Spilomelinae","Crambidae","medium","small","native","","COFR","urban"
"Anatrachyntis","micro_18","Cosmopteriginae","Cosmopterigidae","light","small","exotic","generalist","BOWA","rural"
