Sample_Dates,Group_Number,Site
3/10/2019,1,COFR
3/16/2019,1,COFR
3/24/2019,1,COFR
3/31/2019,1,COFR
4/7/2019,1,COFR
4/14/2019,1,COFR
4/21/2019,1,COFR
4/28/2019,1,COFR
5/4/2019,2,COFR
5/22/2019,2,COFR
6/8/2019,2,COFR
6/15/2019,2,COFR
6/22/2019,2,COFR
6/29/2019,2,COFR
7/6/2019,3,COFR
7/13/2019,3,COFR
7/15/2019,3,COFR
7/27/2019,3,COFR
8/2/2019,3,COFR
8/10/2019,3,COFR
8/17/2019,3,COFR
8/24/2019,3,COFR
8/31/2019,4,COFR
9/7/2019,4,COFR
9/11/2019,4,COFR
9/21/2019,4,COFR
9/28/2019,4,COFR
10/5/2019,4,COFR
10/12/2019,4,COFR
10/21/2019,5,COFR
10/26/2019,5,COFR
11/2/2019,5,COFR
12/1/2019,5,COFR
12/8/2019,5,COFR
12/22/2019,5,COFR
1/1/2019,6,COFR
1/11/2019,6,COFR
1/18/2019,6,COFR
2/1/2019,6,COFR
2/9/2019,6,COFR
2/15/2019,6,COFR
2/28/2019,6,COFR
3/24/19,1,DEMI
3/31/19,1,DEMI
4/7/19,1,DEMI
4/14/19,1,DEMI
4/21/19,1,DEMI
4/28/19,1,DEMI
5/4/19,2,DEMI
5/11/19,2,DEMI
5/24/19,2,DEMI
6/2/19,2,DEMI
6/8/19,2,DEMI
6/15/19,2,DEMI
6/22/19,2,DEMI
6/29/19,2,DEMI
7/6/19,3,DEMI
7/13/19,3,DEMI
7/27/19,3,DEMI
8/2/19,3,DEMI
8/10/19,3,DEMI
8/24/19,3,DEMI
8/31/19,4,DEMI
9/7/19,4,DEMI
9/12/19,4,DEMI
9/21/19,4,DEMI
9/28/19,4,DEMI
10/5/19,4,DEMI
10/12/19,4,DEMI
10/20/19,5,DEMI
10/26/19,5,DEMI
11/2/19,5,DEMI
11/11/19,5,DEMI
11/23/19,5,DEMI
12/1/19,5,DEMI
12/12/19,5,DEMI
1/5/20,6,DEMI
1/11/20,6,DEMI
1/25/20,6,DEMI
2/1/20,6,DEMI
2/9/20,6,DEMI
2/15/20,6,DEMI
2/28/20,6,DEMI
3/16/19,1,BOWA
3/24/19,1,BOWA
3/31/19,1,BOWA
4/7/19,1,BOWA
4/14/19,1,BOWA
4/14/19,1,BOWA
4/21/19,1,BOWA
4/28/19,1,BOWA
5/4/19,2,BOWA
5/11/19,2,BOWA
5/22/19,2,BOWA
6/2/19,2,BOWA
6/8/19,2,BOWA
6/15/19,2,BOWA
6/22/19,2,BOWA
6/29/19,2,BOWA
7/6/19,3,BOWA
7/13/19,3,BOWA
7/27/19,3,BOWA
8/2/19,3,BOWA
8/17/19,3,BOWA
8/24/19,3,BOWA
8/31/19,4,BOWA
9/7/19,4,BOWA
9/12/19,4,BOWA
9/21/19,4,BOWA
9/28/19,4,BOWA
10/5/19,4,BOWA
10/12/19,4,BOWA
10/20/19,5,BOWA
10/26/19,5,BOWA
11/2/19,5,BOWA
11/23/19,5,BOWA
12/1/19,5,BOWA
12/8/19,5,BOWA
12/12/19,5,BOWA
1/1/20,6,BOWA
1/11/20,6,BOWA
1/18/20,6,BOWA
1/25/20,6,BOWA
2/1/20,6,BOWA
2/9/20,6,BOWA
2/15/20,6,BOWA
2/28/20,6,BOWA
3/10/19,1,BIVA
3/16/19,1,BIVA
3/24/19,1,BIVA
3/31/19,1,BIVA
4/7/19,1,BIVA
4/14/19,1,BIVA
4/21/19,1,BIVA
4/28/19,1,BIVA
5/4/19,2,BIVA
5/11/19,2,BIVA
5/22/19,2,BIVA
6/2/19,2,BIVA
6/8/19,2,BIVA
6/15/19,2,BIVA
6/22/19,2,BIVA
6/29/19,2,BIVA
7/13/19,3,BIVA
7/27/19,3,BIVA
8/2/19,3,BIVA
8/10/19,3,BIVA
8/17/19,3,BIVA
8/24/19,3,BIVA
8/31/19,4,BIVA
9/7/19,4,BIVA
9/12/19,4,BIVA
9/21/19,4,BIVA
9/28/19,4,BIVA
10/5/19,4,BIVA
10/12/19,4,BIVA
10/20/19,5,BIVA
10/26/19,5,BIVA
11/12/19,5,BIVA
11/16/19,5,BIVA
11/23/19,5,BIVA
12/1/19,5,BIVA
12/8/19,5,BIVA
12/12/19,5,BIVA
1/1/20,6,BIVA
1/5/20,6,BIVA
1/11/20,6,BIVA
1/18/20,6,BIVA
2/9/20,6,BIVA
2/15/20,6,BIVA
2/28/20,6,BIVA
3/10/19,1,RIST
3/16/19,1,RIST
3/24/19,1,RIST
3/31/19,1,RIST
4/7/19,1,RIST
4/14/19,1,RIST
4/21/19,1,RIST
4/25/19,1,RIST
5/4/19,2,RIST
5/11/19,2,RIST
5/22/19,2,RIST
6/2/19,2,RIST
6/8/19,2,RIST
6/15/19,2,RIST
6/22/19,2,RIST
6/29/19,2,RIST
